Trial_land_count	colors	trial_number	turns_until_all_colors	Mulligan
0	2	0	3	Mulligan
0	2	1	0	False
0	2	2	2	Mulligan
0	2	3	7	False
0	2	4	0	False
0	2	5	6	False
0	2	6	0	False
0	2	7	0	False
0	2	8	1	False
0	2	9	0	False
0	2	10	0	False
0	2	11	0	False
0	2	12	6	Mulligan
0	2	13	0	False
0	2	14	1	Mulligan
0	2	15	14	False
0	2	16	3	False
0	2	17	0	False
0	2	18	0	False
0	2	19	0	False
0	2	20	1	False
0	2	21	3	False
0	2	22	0	False
0	2	23	0	False
0	2	24	0	False
0	2	25	0	False
0	2	26	15	False
0	2	27	0	False
0	2	28	0	False
0	2	29	4	False
0	2	30	3	Mulligan
0	2	31	0	False
0	2	32	8	False
0	2	33	0	False
0	2	34	0	False
0	2	35	0	False
0	2	36	0	False
0	2	37	0	False
0	2	38	8	False
0	2	39	8	False
0	2	40	0	False
0	2	41	2	Mulligan
0	2	42	0	False
0	2	43	0	False
0	2	44	0	False
0	2	45	0	False
0	2	46	0	False
0	2	47	1	Mulligan
0	2	48	0	False
0	2	49	0	False
0	2	50	0	False
0	2	51	2	False
0	2	52	5	False
0	2	53	15	Mulligan
0	2	54	0	False
0	2	55	14	False
0	2	56	0	False
0	2	57	0	False
0	2	58	0	False
0	2	59	0	False
0	2	60	0	False
0	2	61	1	False
0	2	62	2	False
0	2	63	0	False
0	2	64	0	False
0	2	65	0	False
0	2	66	1	False
0	2	67	4	Mulligan
0	2	68	0	False
0	2	69	0	False
0	2	70	0	False
0	2	71	10	False
0	2	72	0	False
0	2	73	4	Mulligan
0	2	74	0	False
0	2	75	0	False
0	2	76	9	Mulligan
0	2	77	0	False
0	2	78	0	False
0	2	79	0	False
0	2	80	3	Mulligan
0	2	81	0	False
0	2	82	3	Mulligan
0	2	83	5	Mulligan
0	2	84	0	False
0	2	85	1	False
0	2	86	0	False
0	2	87	7	False
0	2	88	6	False
0	2	89	2	False
0	2	90	0	False
0	2	91	0	False
0	2	92	7	False
0	2	93	0	False
0	2	94	0	False
0	2	95	2	False
0	2	96	0	False
0	2	97	12	Mulligan
0	2	98	0	False
0	2	99	5	Mulligan
0	2	100	0	False
0	2	101	0	False
0	2	102	0	False
0	2	103	0	False
0	2	104	0	False
0	2	105	0	False
0	2	106	1	False
0	2	107	0	False
0	2	108	15	False
0	2	109	0	False
0	2	110	0	False
0	2	111	0	False
0	2	112	0	False
0	2	113	0	False
0	2	114	0	False
0	2	115	0	False
0	2	116	2	False
0	2	117	0	False
0	2	118	9	Mulligan
0	2	119	0	False
0	2	120	0	False
0	2	121	0	False
0	2	122	0	False
0	2	123	0	False
0	2	124	0	False
0	2	125	3	False
0	2	126	0	False
0	2	127	0	False
0	2	128	0	False
0	2	129	0	False
0	2	130	2	False
0	2	131	2	Mulligan
0	2	132	0	False
0	2	133	1	Mulligan
0	2	134	4	False
0	2	135	0	False
0	2	136	1	False
0	2	137	8	Mulligan
0	2	138	1	False
0	2	139	0	False
0	2	140	0	False
0	2	141	4	Mulligan
0	2	142	0	False
0	2	143	5	Mulligan
0	2	144	0	False
0	2	145	0	False
0	2	146	7	False
0	2	147	0	False
0	2	148	1	Mulligan
0	2	149	0	False
0	2	150	2	False
0	2	151	0	False
0	2	152	0	False
0	2	153	5	Mulligan
0	2	154	0	False
0	2	155	0	False
0	2	156	0	False
0	2	157	2	Mulligan
0	2	158	0	False
0	2	159	0	False
0	2	160	0	False
0	2	161	0	False
0	2	162	0	False
0	2	163	0	False
0	2	164	2	Mulligan
0	2	165	8	Mulligan
0	2	166	0	False
0	2	167	5	Mulligan
0	2	168	0	False
0	2	169	12	False
0	2	170	0	False
0	2	171	0	False
0	2	172	0	False
0	2	173	0	False
0	2	174	0	False
0	2	175	8	Mulligan
0	2	176	0	False
0	2	177	0	False
0	2	178	18	False
0	2	179	0	False
0	2	180	0	False
0	2	181	0	False
0	2	182	0	False
0	2	183	4	Mulligan
0	2	184	0	False
0	2	185	14	Mulligan
0	2	186	14	Mulligan
0	2	187	0	False
0	2	188	0	False
0	2	189	4	False
0	2	190	0	False
0	2	191	2	False
0	2	192	0	False
0	2	193	2	Mulligan
0	2	194	0	False
0	2	195	7	False
0	2	196	4	False
0	2	197	5	Mulligan
0	2	198	4	False
0	2	199	0	False
0	2	200	2	False
0	2	201	0	False
0	2	202	0	False
0	2	203	0	False
0	2	204	1	Mulligan
0	2	205	0	False
0	2	206	8	Mulligan
0	2	207	0	False
0	2	208	0	False
0	2	209	0	False
0	2	210	15	False
0	2	211	0	False
0	2	212	0	False
0	2	213	0	False
0	2	214	0	False
0	2	215	20	Mulligan
0	2	216	0	False
0	2	217	0	False
0	2	218	5	False
0	2	219	0	False
0	2	220	0	False
0	2	221	0	False
0	2	222	10	False
0	2	223	5	Mulligan
0	2	224	4	Mulligan
0	2	225	0	False
0	2	226	0	False
0	2	227	0	False
0	2	228	0	False
0	2	229	0	False
0	2	230	1	Mulligan
0	2	231	0	False
0	2	232	14	False
0	2	233	0	False
0	2	234	3	False
0	2	235	0	False
0	2	236	10	Mulligan
0	2	237	0	False
0	2	238	4	False
0	2	239	2	False
0	2	240	6	False
0	2	241	0	False
0	2	242	0	False
0	2	243	23	False
0	2	244	0	False
0	2	245	1	False
0	2	246	0	False
0	2	247	0	False
0	2	248	0	False
0	2	249	5	Mulligan
0	2	250	0	False
0	2	251	3	Mulligan
0	2	252	0	False
0	2	253	9	False
0	2	254	1	False
0	2	255	0	False
0	2	256	0	False
0	2	257	0	False
0	2	258	1	False
0	2	259	0	False
0	2	260	0	False
0	2	261	0	False
0	2	262	0	False
0	2	263	11	Mulligan
0	2	264	0	False
0	2	265	0	False
0	2	266	5	False
0	2	267	0	False
0	2	268	0	False
0	2	269	0	False
0	2	270	4	Mulligan
0	2	271	0	False
0	2	272	0	False
0	2	273	0	False
0	2	274	0	False
0	2	275	0	False
0	2	276	0	False
0	2	277	0	False
0	2	278	0	False
0	2	279	1	False
0	2	280	0	False
0	2	281	4	False
0	2	282	3	False
0	2	283	0	False
0	2	284	4	False
0	2	285	0	False
0	2	286	0	False
0	2	287	0	False
0	2	288	1	False
0	2	289	0	False
0	2	290	6	False
0	2	291	0	False
0	2	292	0	False
0	2	293	4	False
0	2	294	1	False
0	2	295	6	False
0	2	296	0	False
0	2	297	0	False
0	2	298	0	False
0	2	299	0	False
0	2	300	0	False
0	2	301	11	False
0	2	302	0	False
0	2	303	0	False
0	2	304	17	False
0	2	305	1	Mulligan
0	2	306	3	Mulligan
0	2	307	0	False
0	2	308	3	Mulligan
0	2	309	9	False
0	2	310	0	False
0	2	311	8	Mulligan
0	2	312	1	False
0	2	313	0	False
0	2	314	0	False
0	2	315	1	Mulligan
0	2	316	3	False
0	2	317	0	False
0	2	318	0	False
0	2	319	7	False
0	2	320	0	False
0	2	321	0	False
0	2	322	1	False
0	2	323	0	False
0	2	324	1	Mulligan
0	2	325	0	False
0	2	326	0	False
0	2	327	0	False
0	2	328	0	False
0	2	329	6	Mulligan
0	2	330	0	False
0	2	331	0	False
0	2	332	0	False
0	2	333	2	False
0	2	334	0	False
0	2	335	0	False
0	2	336	0	False
0	2	337	0	False
0	2	338	2	False
0	2	339	0	False
0	2	340	2	False
0	2	341	0	False
0	2	342	0	False
0	2	343	0	False
0	2	344	0	False
0	2	345	0	False
0	2	346	0	False
0	2	347	9	Mulligan
0	2	348	0	False
0	2	349	0	False
0	2	350	0	False
0	2	351	9	Mulligan
0	2	352	6	Mulligan
0	2	353	2	Mulligan
0	2	354	7	False
0	2	355	0	False
0	2	356	0	False
0	2	357	1	False
0	2	358	0	False
0	2	359	6	False
0	2	360	3	Mulligan
0	2	361	1	False
0	2	362	3	False
0	2	363	0	False
0	2	364	1	Mulligan
0	2	365	0	False
0	2	366	0	False
0	2	367	0	False
0	2	368	0	False
0	2	369	7	Mulligan
0	2	370	0	False
0	2	371	0	False
0	2	372	6	False
0	2	373	1	Mulligan
0	2	374	29	Mulligan
0	2	375	0	False
0	2	376	0	False
0	2	377	0	False
0	2	378	0	False
0	2	379	0	False
0	2	380	0	False
0	2	381	1	Mulligan
0	2	382	4	False
0	2	383	0	False
0	2	384	4	False
0	2	385	0	False
0	2	386	4	False
0	2	387	0	False
0	2	388	0	False
0	2	389	7	Mulligan
0	2	390	0	False
0	2	391	9	False
0	2	392	1	False
0	2	393	0	False
0	2	394	3	Mulligan
0	2	395	0	False
0	2	396	9	False
0	2	397	0	False
0	2	398	1	False
0	2	399	0	False
0	2	400	0	False
0	2	401	0	False
0	2	402	0	False
0	2	403	6	Mulligan
0	2	404	0	False
0	2	405	0	False
0	2	406	1	False
0	2	407	0	False
0	2	408	0	False
0	2	409	6	False
0	2	410	0	False
0	2	411	1	False
0	2	412	3	False
0	2	413	0	False
0	2	414	0	False
0	2	415	4	Mulligan
0	2	416	0	False
0	2	417	0	False
0	2	418	0	False
0	2	419	0	False
0	2	420	0	False
0	2	421	5	False
0	2	422	0	False
0	2	423	0	False
0	2	424	0	False
0	2	425	0	False
0	2	426	0	False
0	2	427	0	False
0	2	428	2	False
0	2	429	1	False
0	2	430	0	False
0	2	431	0	False
0	2	432	0	False
0	2	433	0	False
0	2	434	4	Mulligan
0	2	435	0	False
0	2	436	0	False
0	2	437	0	False
0	2	438	0	False
0	2	439	4	Mulligan
0	2	440	1	Mulligan
0	2	441	0	False
0	2	442	11	Mulligan
0	2	443	0	False
0	2	444	0	False
0	2	445	0	False
0	2	446	6	Mulligan
0	2	447	0	False
0	2	448	9	Mulligan
0	2	449	0	False
0	2	450	2	Mulligan
0	2	451	0	False
0	2	452	10	Mulligan
0	2	453	0	False
0	2	454	0	False
0	2	455	0	False
0	2	456	0	False
0	2	457	11	Mulligan
0	2	458	0	False
0	2	459	0	False
0	2	460	0	False
0	2	461	0	False
0	2	462	0	False
0	2	463	0	False
0	2	464	3	False
0	2	465	6	Mulligan
0	2	466	0	False
0	2	467	0	False
0	2	468	0	False
0	2	469	0	False
0	2	470	4	Mulligan
0	2	471	0	False
0	2	472	0	False
0	2	473	0	False
0	2	474	1	Mulligan
