Dual_land	Cards_drawn	Color_Counts	Color_Counts_during_trials
0	7	0	0
0	7	1	0
0	7	2	10000
0	7	Mulligan	0
1	7	0	0
1	7	1	0
1	7	2	9631
1	7	Mulligan	0
2	7	0	0
2	7	1	0
2	7	2	9270
2	7	Mulligan	0
3	7	0	0
3	7	1	0
3	7	2	8938
3	7	Mulligan	0
4	7	0	0
4	7	1	0
4	7	2	8716
4	7	Mulligan	0
5	7	0	0
5	7	1	0
5	7	2	8491
5	7	Mulligan	0
6	7	0	0
6	7	1	0
6	7	2	8281
6	7	Mulligan	0
7	7	0	0
7	7	1	0
7	7	2	8056
7	7	Mulligan	0
8	7	0	0
8	7	1	0
8	7	2	8003
8	7	Mulligan	0
9	7	0	0
9	7	1	0
9	7	2	7885
9	7	Mulligan	0
10	7	0	0
10	7	1	0
10	7	2	7797
10	7	Mulligan	0
11	7	0	0
11	7	1	0
11	7	2	7694
11	7	Mulligan	0
12	7	0	0
12	7	1	0
12	7	2	7748
12	7	Mulligan	0
13	7	0	0
13	7	1	0
13	7	2	7671
13	7	Mulligan	0
14	7	0	0
14	7	1	0
14	7	2	7770
14	7	Mulligan	0
15	7	0	0
15	7	1	0
15	7	2	7738
15	7	Mulligan	0
16	7	0	0
16	7	1	0
16	7	2	7687
16	7	Mulligan	0
17	7	0	0
17	7	1	0
17	7	2	7810
17	7	Mulligan	0
18	7	0	0
18	7	1	0
18	7	2	7834
18	7	Mulligan	0
19	7	0	0
19	7	1	0
19	7	2	7911
19	7	Mulligan	0
20	7	0	0
20	7	1	0
20	7	2	8029
20	7	Mulligan	0
21	7	0	0
21	7	1	0
21	7	2	8160
21	7	Mulligan	0
22	7	0	0
22	7	1	0
22	7	2	8271
22	7	Mulligan	0
23	7	0	0
23	7	1	0
23	7	2	8339
23	7	Mulligan	0
24	7	0	0
24	7	1	0
24	7	2	8417
24	7	Mulligan	0
25	7	0	0
25	7	1	0
25	7	2	8616
25	7	Mulligan	0
26	7	0	0
26	7	1	0
26	7	2	8730
26	7	Mulligan	0
27	7	0	0
27	7	1	0
27	7	2	8932
27	7	Mulligan	0
28	7	0	0
28	7	1	0
28	7	2	8985
28	7	Mulligan	0
29	7	0	0
29	7	1	0
29	7	2	9155
29	7	Mulligan	0
30	7	0	0
30	7	1	0
30	7	2	9211
30	7	Mulligan	0
31	7	0	0
31	7	1	0
31	7	2	9348
31	7	Mulligan	0
32	7	0	0
32	7	1	0
32	7	2	9489
32	7	Mulligan	0
33	7	0	0
33	7	1	0
33	7	2	9613
33	7	Mulligan	0
34	7	0	0
34	7	1	0
34	7	2	9679
34	7	Mulligan	0
