Trial_land_count	colors	trial_number	turns_until_all_colors	Mulligan
0	5	0	3	False
0	5	1	25	Mulligan
0	5	2	6	False
0	5	3	23	Mulligan
0	5	4	28	False
0	5	5	12	False
0	5	6	19	Mulligan
0	5	7	29	False
0	5	8	25	False
0	5	9	14	False
0	5	10	31	False
0	5	11	7	False
0	5	12	21	False
0	5	13	18	False
0	5	14	24	False
0	5	15	22	False
0	5	16	12	False
0	5	17	15	False
0	5	18	10	False
0	5	19	22	False
0	5	20	7	False
0	5	21	28	False
0	5	22	36	Mulligan
0	5	23	26	Mulligan
0	5	24	7	False
0	5	25	16	Mulligan
0	5	26	25	False
0	5	27	25	False
0	5	28	19	False
0	5	29	32	False
0	5	30	14	False
0	5	31	29	False
0	5	32	27	False
0	5	33	44	False
0	5	34	13	False
0	5	35	15	False
0	5	36	27	False
0	5	37	5	False
0	5	38	10	False
0	5	39	5	False
0	5	40	8	False
0	5	41	18	Mulligan
0	5	42	17	Mulligan
0	5	43	13	False
0	5	44	6	False
0	5	45	6	False
0	5	46	20	False
0	5	47	34	False
0	5	48	19	False
0	5	49	13	False
0	5	50	19	False
0	5	51	24	False
0	5	52	9	False
0	5	53	18	Mulligan
0	5	54	29	False
0	5	55	2	False
0	5	56	14	False
0	5	57	13	False
0	5	58	14	False
0	5	59	21	Mulligan
0	5	60	12	False
0	5	61	8	False
0	5	62	21	False
0	5	63	12	Mulligan
0	5	64	34	False
0	5	65	24	False
0	5	66	12	False
0	5	67	6	False
0	5	68	13	False
0	5	69	27	False
0	5	70	22	False
0	5	71	1	False
0	5	72	18	Mulligan
0	5	73	7	False
0	5	74	8	False
0	5	75	15	Mulligan
0	5	76	12	False
0	5	77	19	Mulligan
0	5	78	0	False
0	5	79	23	False
0	5	80	15	False
0	5	81	5	False
0	5	82	13	False
0	5	83	13	False
0	5	84	11	False
0	5	85	11	False
0	5	86	22	Mulligan
0	5	87	22	False
0	5	88	21	False
0	5	89	25	False
0	5	90	26	False
0	5	91	9	False
0	5	92	21	False
0	5	93	8	False
0	5	94	21	False
0	5	95	10	False
0	5	96	34	False
0	5	97	15	Mulligan
0	5	98	11	False
0	5	99	9	False
0	5	100	24	False
0	5	101	47	False
0	5	102	3	False
0	5	103	41	False
0	5	104	9	False
0	5	105	37	False
0	5	106	10	False
0	5	107	14	False
0	5	108	10	False
0	5	109	24	False
0	5	110	12	False
0	5	111	15	False
0	5	112	22	False
0	5	113	15	False
0	5	114	25	Mulligan
0	5	115	14	False
0	5	116	33	False
0	5	117	8	False
0	5	118	13	False
0	5	119	26	False
0	5	120	10	False
0	5	121	18	False
0	5	122	19	False
0	5	123	11	False
0	5	124	9	False
0	5	125	16	False
0	5	126	15	False
0	5	127	17	Mulligan
0	5	128	1	False
0	5	129	7	False
0	5	130	11	False
0	5	131	20	False
0	5	132	21	False
0	5	133	20	False
0	5	134	10	False
0	5	135	11	False
0	5	136	26	False
0	5	137	6	False
0	5	138	10	False
0	5	139	21	False
0	5	140	22	False
0	5	141	24	False
0	5	142	27	False
0	5	143	15	False
0	5	144	15	False
0	5	145	6	False
0	5	146	11	Mulligan
0	5	147	1	False
0	5	148	8	Mulligan
0	5	149	23	False
0	5	150	15	False
0	5	151	31	False
0	5	152	11	False
0	5	153	2	False
0	5	154	11	False
0	5	155	23	Mulligan
